,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
132,"Someone To You",BANNERS,847378,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
133,"Martin & Gina","Polo G",842464,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
134,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,842049,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
135,ROXANNE,"Arizona Zervas",838111,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
136,"Smile (with The Weeknd)","Juice WRLD",833902,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
137,"Djadja (feat. Maluma) - Remix","Aya Nakamura",824480,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
138,"You Got It",Vedo,821837,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
139,"Ride It",Regard,817001,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
140,"Blueberry Eyes (feat. SUGA of BTS)",MAX,815811,https://open.spotify.com/track/6sI8Q7TTJeA9exw6hxEqq3
141,Perfect,"Ed Sheeran",810457,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
142,"Jerusalema (feat. Nomcebo Zikode)","Master KG",805010,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
143,"Party Girl",StaySolidRocky,804518,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
144,"Be Kind (with Halsey)",Marshmello,802926,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
145,"Mr. Right Now (feat. Drake)","21 Savage",802743,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
146,"everything i wanted","Billie Eilish",802005,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
147,Enchule,"Rauw Alejandro",801998,https://open.spotify.com/track/3ThrfRAmijYU098H9q9tAs
148,"Be Alright","Dean Lewis",795140,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
149,"All I Want for Christmas Is You","Mariah Carey",791191,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
150,"Daddy Issues","The Neighbourhood",790586,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
151,"hot girl bummer",blackbear,785923,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
152,"Don Don","Daddy Yankee",785384,https://open.spotify.com/track/3kml9ZdpT7UYk1ugkjqOzt
153,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,785178,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
154,"Quiéreme Mientras Se Pueda","Manuel Turizo",784146,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
155,"Paradise (feat. Dermot Kennedy)",MEDUZA,782281,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
156,"west side","Ariana Grande",781919,https://open.spotify.com/track/1whfVLMKWqAX3uk97VXsNN
157,"love language","Ariana Grande",781366,https://open.spotify.com/track/6NYtLvyThMT0oALFdJFdzq
158,"GREECE (feat. Drake)","DJ Khaled",781320,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
159,"Moonwalking in Calabasas (feat. Blueface) - Remix",DDG,781138,https://open.spotify.com/track/7o4gBbTM6UBLkOYPw9xMCz
160,"The Business",Tiësto,779722,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
161,"All of Me","John Legend",778959,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
162,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,768853,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
163,"I Don't Care (with Justin Bieber)","Ed Sheeran",767692,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
164,"Shape of You","Ed Sheeran",762671,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
165,SAD!,XXXTENTACION,754099,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
166,"Hasta Que Dios Diga","Anuel AA",747643,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
167,"Godzilla (feat. Juice WRLD)",Eminem,744310,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
168,Rojo,"J Balvin",740227,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
169,Promiscuous,"Nelly Furtado",739410,https://open.spotify.com/track/2gam98EZKrF9XuOkU13ApN
170,Favorito,Camilo,737845,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
171,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",734796,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
172,"At My Worst","Pink Sweat$",730574,https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr
173,"rockstar (feat. 21 Savage)","Post Malone",729904,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
174,"Without Me",Halsey,728056,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
175,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",727828,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
176,Madrid,Maluma,724593,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H
177,"Are You Bored Yet? (feat. Clairo)",Wallows,721017,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
178,"when the party's over","Billie Eilish",720490,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
179,"Still Don't Know My Name",Labrinth,719271,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
180,"Say So","Doja Cat",714223,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
181,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",713149,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
182,Nada,"Cali Y El Dandee",712741,https://open.spotify.com/track/4K8cyoCDovlc4FvtUr2Hfx
183,"Bohemian Rhapsody - 2011 Mix",Queen,711386,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
184,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,710941,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
185,"Dancing With A Stranger (with Normani)","Sam Smith",710189,https://open.spotify.com/track/3xgT3xIlFGqZjYW9QlhJWp
186,"Caramelo - Remix",Ozuna,707538,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV
187,"Got It On Me","Pop Smoke",707000,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
188,Runnin,"21 Savage",706174,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
